question,answer
Did natural science publications or humanities publications have a higher percentage of articles written in English?,Natural science
How many fingers does Charmander have in artwork drawn by Ken Sugimori?,Four
Xiao Yan had been the general under whose reign before becoming the Emperor Wu of Liang dynasty?,Xiao Baojuan
How many is Capricornus' alpha star magnitude?,3.6
Is the black hole in M87 heavier than the Sun?,Yes
Is it true that General Gao Huan's son established the Northern Qi,Yes
What is the name of the constellation associated with the ritual sacrifice of cattle?,Lou
Is the name of Gujarat derived from a dynasty from over 10000 years ago?,No
"In Braj Kachru's three circle model, is Malaysia in the inner circle?",No
How long did Emperor Wu's liquor monopoly last?,3 years
How many letters does French use?,26
Does Karnataka have more nationally protected monuments than Uttar Pradesh?,No
Where is German especially widely taught?,continental Europe
Did women work and make money?,Yes.
From which language is most of the lexicon of Portuguese derived?,Latin
What empire fell in the Battle of Tolikota?,Vijayanagara
How many districts is Uttar Pradesh divided into?,75
Did the stars of the constellation first recorded in Almagest lie within the Vermilion Bird of the South in Chinese astronomy?,Yes
"What was ranked as the ""second best person of the year""",Pikachu
What was last major region of India to be annexed by Britain?,Punjab
"In the Joy of Pokémon, who is a friend of Joy?",A giant Magikarp
Who is known as the Flame Pokémon? ,Charizard.
What may a French-speaking person or nation be referred to as?,Francophone
Does Bengali require a lot of inflection?,No
When did the Jin dynasty exist?,From 266 to 420
Where do the stars of Cancer lie within in Chinese astronomy?,The Vermilion Bird of the South.
Did Bulbasaur debut as a starter Pokémon in a video game?,Yes
What is the first evolution of Bulbasaur?,Ivysaur
How did the oracle bones help create the king lists?,They contain the sacrifices to previous kings and the ancestors of the current king
Did Wu Zetian killed her son to make Gaozong's empress demoted?,No
How many native species of gymnosperm does Tamil Nadu have?,four
Whose defeat marked the beginning of the Zhou dynasty?,King Zhou of Shang
Who did the Northern Zhou and Northern Qi replace?,The Eastern and Western Wei
Who befriends a giant Magikarp in The Joy of Pokemon?,a Nurse Joy
From what mythology does the way of evolving Magikarp into Gyrados in Pokémon Snap originate?,Chinese
Is Nergal's stinger positioned higher than its tail?,Yes
Where was the ruler who was killed at the Second Battle of Panipat on 5 November 1556 born in 1501?,village of Machheri in Alwar District
Did the Great Wall construction in Sui strain the economy and anger the resentful workforce employed?,Yes.
What is the brighest visible region of the Milky Way?,The Large Sagittarius Star Cloud
Is Urdu the only official language in Pakistan?,No
"Who described Eevee as ""enduringly popular""?",GamesRadar
What language do people who share no native language often speak?,English
Are there seven official languages in the United Nations?,No
French evolved from what?,Gallo-Romance
When did Emperor Wu annex Nanue?,111 BC
Is Linum Boreun a subdivision of the constellation Pisces according to Johannes Hevelius?,Yes
"Does Scorpius contain a blue star, a red star, and a yellow star?",Yes
What destabilized Wang Mang's regime?,natural disasters
Into what three groupings are English dialects divided by linguists?,"British English, North American English, Southern Hemisphere english"
"When exposed to a moon stone, what does Jigglypuff evolve into?",Wigglytuff
What was the main staple crop before the Tang dynasty?,millet
How many central characters in the Pokemon anime have a Bulbasaur?,Two.
Has the decadal growth rate of population always  remained higher than the national average in  Maharashtra since independence?,No
Did the modern Marathi language evolve from the Maharashtri Prakrit?,Yes
Is there a difference between male and female Bulbasaurs?,No
What are the first three eeveelutions?,"Vaporeon, Jolteon, and Flareon"
Which locations became the principal centers of Muslim rulers' power in Rajasthan?,Nagaur and Ajmer
Where did Portuguese origin from?,Iberian Peninsula of Europe
Do more people speak Urdu or Tamil in Karnataka?,Urdu.
Can squirtle move on all four feet?,Yes
"According to the 2011 census of India, were there more males or females in Karnataka being literate?",Males
Which galaxies are part of the Leo triplet?,Messier 65 and Messier 66
Did the early Western Han court simultaneously accept multiple philosophical teachings in making state decisions and shaping government policy?,Yes
Was it difficult for Chen Baxian to defeat the Northern armies?,No
What state did the alliance between Jin dynasty and the Tuoba fight against?,Han Zhao state
What movie did Kotaro Watanabe voice Mewtwo?,Detective Pikachu
What are the dark bands on the interior of NGC 6514 called?,lobes
Is  Gujarat the second longest coastline in India?,Yes
Can you classify languages based on rhythm? ,"Yes, although it can be problematic. "
Who witnessed the pinnacle of menfa politics?,Eastern Jin
In what country is Portuguese required in school? ,Uruguay 
Did Ptolemy identify more than 50 constellations?,No
Was the Chera dynastry the third prominent kingdom based in Kerala?,No
Did local varieties of Bengali have any official status in Gupta Empire?,No
Is Russian a rather heterogeneous language?,No
What Pokémon type is Pikachu?,electric-type
Which native Celtic languages was French influenced by?,Gallia Belgica and the (Germanic) Frankish language of the post-Roman Frankish invaders
"In India, how many official languages are there?",23
Where does the majority of the world's French-speaking population live?,Africa
What language is the Quran written in?,Arabic
Is NGC 6445 near NGC 6440?,yes
Where did a large number of Kerala residents emigrate to?, The Arab states of the Persian Gulf.
Is Leo bright?,Yes
What is the Shang Dynasty also known as?,The Yin Dynasty
Is French a romance language? ,Yes 
Is Raja Harishchandra a silent movie?,Yes
Is Kolkata the third-largest metropolis in India ?,yes
How many Kimono girls have evolved Eevees?,Two
What is Regulus?,A blue-white main sequence star of magnitude 1.34
Who was appointed by Emperor Yao to stop the flooding? ,Gun
What was China’s first imperial dynasty?,Qin dynasty.
Could half of the total population could speak Dutch in 1940?,No
Who was Han Zhao?,Han Zhao was one of the states established during the Sixteen Kingdoms era of Chinese history.
In which region is Aquarius found?,Sea.
What corresponds to the Hindu nakshatras Anuradha	 Jyeshtha	 and Mula? ,Scorpius
What movie has Magikarp appeared in?,Detective Pikachu
Was the planet Neptune discovered near a star in Capricornus?,Yes
Is Cancer invisible to the naked eye under city skies?,Yes
What astronomical body is M35 similar to in size?,the moon
When did Xiao Yuanming arrive at Jiankang to take the throne?,Summer 555
Do the Orionids occur during the month of October?,Yes
Who designed most of the Eeveelutions?,Atsuko Nishida
Who is oldest son of Sima Zhao?,Sima Yan
How many official languages does Singapore have?,4
Is French the third most widely spoken mother tongue in the European Union?,No
Does Indonesian orginally have a lot of native speakers?,No
Can an English syllable start with four consonant sounds?,No
When did the Jin dynasty of China exist?,from 266 to 420
Is Libra relatively bright?,No
How did Jiandi give birth to Xie?,swallowed an egg dropped by a black bird
Who was Xiao Zong's father?,Emperor Wu
What else did the god Amon-Ra represent apart from creativity?,Fertility.
Are Pollux and Castor similar stars?,No
When was the first Great Wall since the Han dynasty built?,Northern Wei
Did the Yin dynasty rule in the Yellow River valley in the second millennium BC?,Yes
Is Snorlax ranked the best Pokemon?,No
How many constellations did Ptolemy identify?,48
Did stars from Andromeda form a part of the porpoise?,Yes
Was Venusaur given a Mega Evolution in Pokemon X and Y?,Yes.
How many official languages does the United Nations recognize?,Six
Charizard is a pormanteau of what?,Charcoal or char and lizard
When does the Taurid meteor shower appear?,November
Poet Li Bai was famous for which style of peotry?,gushi
At what level does Charizard evolve?,36
Does Uttar Pradesh have an arctic climate?,No.
Is Andrha Pradesh a major producer of rice?,Yes.
Which gender of Pikachu has a heart-shaped appearance tail in Pokémon Diamond and Pearl?,Female
Which state borders Andhra Pradesh in the north-west?,Telangana
